strike,open_interest,volume
450.0,4556.0,7483.0
470.0,4278.0,49707.0
475.0,4043.0,25044.0
467.0,3709.0,25585.0
485.0,3532.0,6944.0
465.0,3372.0,32514.0
458.0,3194.0,6147.0
480.0,2932.0,14484.0
460.0,2913.0,19768.0
490.0,2400.0,4763.0
500.0,2351.0,3064.0
466.0,2131.0,21084.0
468.0,2119.0,39671.0
445.0,2059.0,2792.0
469.0,2032.0,33896.0
444.0,1994.0,1681.0
455.0,1942.0,7356.0
482.0,1926.0,5179.0
474.0,1789.0,16007.0
472.0,1730.0,37531.0
462.0,1716.0,9928.0
495.0,1705.0,3845.0
457.0,1680.0,3691.0
440.0,1669.0,2843.0
463.0,1667.0,8291.0
515.0,1631.0,426.0
434.0,1599.0,332.0
461.0,1531.0,6791.0
486.0,1485.0,4763.0
476.0,1387.0,10762.0
473.0,1368.0,32896.0
520.0,1359.0,501.0
464.0,1345.0,16469.0
487.0,1343.0,3952.0
488.0,1332.0,1330.0
471.0,1323.0,33261.0
478.0,1282.0,12070.0
448.0,1247.0,2988.0
459.0,1154.0,6211.0
454.0,1130.0,3927.0
477.0,1121.0,11027.0
483.0,1088.0,4227.0
491.0,1074.0,2215.0
501.0,1071.0,1215.0
481.0,1066.0,4904.0
452.0,1045.0,3239.0
489.0,1025.0,2291.0
479.0,1024.0,5680.0
443.0,975.0,2108.0
435.0,974.0,362.0
484.0,960.0,4899.0
497.0,944.0,305.0
456.0,851.0,3518.0
505.0,823.0,1047.0
510.0,777.0,217.0
449.0,776.0,2149.0
453.0,758.0,8577.0
447.0,735.0,1766.0
516.0,710.0,100.0
493.0,689.0,432.0
492.0,615.0,2883.0
494.0,486.0,1218.0
451.0,475.0,2757.0
504.0,460.0,606.0
446.0,459.0,2173.0
433.0,417.0,1122.0
499.0,412.0,781.0
438.0,406.0,1336.0
437.0,349.0,1329.0
436.0,298.0,150.0
496.0,293.0,1164.0
498.0,287.0,594.0
503.0,271.0,727.0
502.0,270.0,284.0
507.0,221.0,17.0
441.0,215.0,1439.0
525.0,208.0,5.0
442.0,206.0,1061.0
429.0,194.0,1237.0
430.0,148.0,310.0
439.0,131.0,1060.0
514.0,121.0,3.0
511.0,118.0,276.0
411.0,115.0,117.0
508.0,113.0,90.0
405.0,107.0,10.0
509.0,105.0,26.0
521.0,104.0,8.0
425.0,100.0,846.0
512.0,100.0,15.0
427.0,99.0,249.0
415.0,96.0,1555.0
506.0,83.0,174.0
426.0,69.0,802.0
420.0,56.0,112.0
527.0,52.0,4.0
417.0,50.0,111.0
400.0,44.0,1013.0
550.0,41.0,0.0
431.0,28.0,631.0
404.0,25.0,12.0
513.0,24.0,112.0
540.0,22.0,21.0
407.0,18.0,5.0
410.0,17.0,162.0
421.0,15.0,98.0
419.0,12.0,2073.0
423.0,11.0,812.0
529.0,11.0,10.0
535.0,11.0,0.0
408.0,10.0,11.0
524.0,10.0,10.0
422.0,9.0,140.0
522.0,9.0,0.0
428.0,7.0,457.0
523.0,6.0,3.0
517.0,6.0,0.0
518.0,5.0,3.0
530.0,2.0,1.0
519.0,2.0,0.0
528.0,2.0,0.0
545.0,1.0,2.0
526.0,0.0,2.0
